Timestamp,Timestamp_UNIX,TP9,AF7,AF8,TP10,Valence,Arousal,Dominace,Viewed,Video,Participant
2024-02-28 09:26:30.003549,1709108790.003549,-199.21875,-35.64453125,-39.0625,-1000.0,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.007455,1709108790.007455,71.77734375,-37.59765625,-36.1328125,-323.2421875,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.234010,1709108790.2340105,121.09375,-25.390625,-27.34375,944.3359375,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.237916,1709108790.2379162,-409.1796875,-31.73828125,-26.85546875,-385.7421875,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.241822,1709108790.241822,-905.76171875,-39.55078125,-39.0625,-1000.0,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.245728,1709108790.2457278,-603.02734375,-41.015625,-41.015625,-911.62109375,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.249634,1709108790.2496336,-271.97265625,-41.50390625,-37.109375,-1000.0,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.253539,1709108790.253539,-27.34375,-44.43359375,-42.48046875,-643.5546875,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.257445,1709108790.257445,461.42578125,-40.0390625,-39.55078125,519.53125,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.261354,1709108790.2613542,574.21875,-37.109375,-36.62109375,999.51171875,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.265260,1709108790.26526,219.7265625,-40.52734375,-40.0390625,937.98828125,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.269166,1709108790.2691658,106.93359375,-43.45703125,-38.57421875,915.52734375,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.273072,1709108790.2730715,199.21875,-41.9921875,-33.203125,999.51171875,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.276977,1709108790.2769773,57.12890625,-42.48046875,-36.62109375,663.0859375,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.280883,1709108790.280883,-673.828125,-43.45703125,-38.0859375,-734.86328125,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.284789,1709108790.2847888,-813.96484375,-41.015625,-37.59765625,-1000.0,1.0,1.0,-1.0,1.0,3.m4v,7.0
2024-02-28 09:26:30.288695,1709108790.2886946,-424.8046875,-45.41015625,-40.0390625,-938.4765625,1.0,1.0,-1.0,1.0,3.m4v,7.0
