Video;Start_Timestamp;Participant;Valence;Arousal;Dominace;Viewed
baseline.m4v;Di 27 Feb 2024 14:52:55 CET;5;;;;
8.m4v;Di 27 Feb 2024 14:55:07 CET;5;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 15:02:01 CET;5;;;;
9.m4v;Di 27 Feb 2024 15:12:30 CET;5;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 15:21:37 CET;6;;;;
1.m4v;Di 27 Feb 2024 15:26:12 CET;6;0;-1;1;0
baseline.m4v;Di 27 Feb 2024 15:30:09 CET;6;;;;
2.m4v;Di 27 Feb 2024 15:31:13 CET;6;0;1;-1;0
baseline.m4v;Di 27 Feb 2024 15:33:51 CET;6;;;;
3.m4v;Di 27 Feb 2024 15:34:56 CET;6;1;1;1;1
baseline.m4v;Di 27 Feb 2024 15:41:47 CET;6;;;;
4.m4v;Di 27 Feb 2024 15:42:52 CET;6;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 15:46:09 CET;6;;;;
5.m4v;Di 27 Feb 2024 15:48:08 CET;6;1;1;1;1
baseline.m4v;Di 27 Feb 2024 15:50:52 CET;6;;;;
6.m4v;Di 27 Feb 2024 15:51:59 CET;6;0;1;0;0
baseline.m4v;Di 27 Feb 2024 15:56:31 CET;6;;;;
7.m4v;Di 27 Feb 2024 15:57:35 CET;6;1;1;1;1
baseline.m4v;Di 27 Feb 2024 16:01:12 CET;6;;;;
8.m4v;Di 27 Feb 2024 16:02:16 CET;6;-1;1;0;1
baseline.m4v;Di 27 Feb 2024 16:09:26 CET;6;;;;
9.m4v;Di 27 Feb 2024 16:10:32 CET;6;-1;0;0;0
baseline.m4v;Mi 28 Feb 2024 09:07:58 CET;7;;;;
1.m4v;Mi 28 Feb 2024 09:12:21 CET;7;0;-1;0;0
baseline.m4v;Mi 28 Feb 2024 09:16:38 CET;7;;;;
2.m4v;Mi 28 Feb 2024 09:17:45 CET;7;0;-1;-1;0
baseline.m4v;Mi 28 Feb 2024 09:20:31 CET;7;;;;
3.m4v;Mi 28 Feb 2024 09:21:41 CET;7;1;1;-1;1
baseline.m4v;Mi 28 Feb 2024 09:27:47 CET;7;;;;
4.m4v;Mi 28 Feb 2024 09:28:55 CET;7;-1;0;-1;0
baseline.m4v;Mi 28 Feb 2024 09:32:06 CET;7;;;;
5.m4v;Mi 28 Feb 2024 09:33:15 CET;7;0;0;0;0
baseline.m4v;Mi 28 Feb 2024 09:36:40 CET;7;;;;
6.m4v;Mi 28 Feb 2024 09:37:44 CET;7;0;1;-1;0
baseline.m4v;Mi 28 Feb 2024 09:41:25 CET;7;;;;
7.m4v;Mi 28 Feb 2024 09:42:35 CET;7;1;0;0;1
baseline.m4v;Mi 28 Feb 2024 09:46:23 CET;7;;;;
8.m4v;Mi 28 Feb 2024 09:47:28 CET;7;0;1;-1;0
baseline.m4v;Mi 28 Feb 2024 09:54:34 CET;7;;;;
9.m4v;Mi 28 Feb 2024 09:55:41 CET;7;-1;0;-1;0
baseline.m4v;Mi 28 Feb 2024 10:08:14 CET;8;;;;
1.m4v;Mi 28 Feb 2024 10:09:17 CET;8;0;0;0;0
baseline.m4v;Mi 28 Feb 2024 10:13:07 CET;8;;;;
2.m4v;Mi 28 Feb 2024 10:14:11 CET;8;-1;-1;1;0
baseline.m4v;Mi 28 Feb 2024 10:16:53 CET;8;;;;
3.m4v;Mi 28 Feb 2024 10:17:59 CET;8;1;1;0;0
baseline.m4v;Mi 28 Feb 2024 10:24:11 CET;8;;;;
4.m4v;Mi 28 Feb 2024 10:25:14 CET;8;-1;0;-1;0
baseline.m4v;Mi 28 Feb 2024 10:29:15 CET;8;;;;
5.m4v;Mi 28 Feb 2024 10:30:19 CET;8;1;1;1;0
baseline.m4v;Mi 28 Feb 2024 10:33:07 CET;8;;;;
